sub_narrative_id,sub_narrative,narrative_id,narrative,meta_narrative_id,meta_narrative,sub_narrative_source
137,Розширення НАТО є екзистенційною загрозою для Росії,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
138,ОБСЄ не виступила посередником у конфлікті й стала на бік України,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
139,"Метою Росії є не окупація України, а лише притягнення її уряду до відповідальності за воєнні злочини",11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
140,Революція Гідності була антиросійським державним переворотом,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
141,Російське вторгнення – це гуманітарна інтервенція,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
142,Російське вторгнення – це превентивна війна,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
143,США свідомо розпалювали збройний конфлікт,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
144,Війна почалася через невігластво Заходу,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
145,Захід сформував Україну як антиросію,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
146,Захід обдурив Росію Мінськими домовленостями,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
147,Захід роками провокує цю війну,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
148,Захід перешкодив Україні підписати мирну угоду з Росією,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
149,Захід відкинув російську мирну угоду,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
150,Захід нехтував російськими інтересами з 1991 року,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
151,Україна і Росія несуть однакову відповідальність за розв'язування війни,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
152,Україна вимагає від НАТО ядерного удару по Росії,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
153,Україна не виконала Мінські угоди,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
154,Україна вже 8 років відмовляється від Донбасу і руйнує його,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
155,Україна вбивала цивільних в Одесі та на Донбасі,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
156,Україна повинна стати дружнім сусідом Росії,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
157,Україна відмовилася прийняти нейтральний і позаблоковий статус,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
158,Україна відмовляється від переговорів з Росією,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
159,Україна почала конфлікт до 24 лютого 2022 року і збиралася силою деокупувати території,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
160,Україна збиралася створити чи застосувати зброю масового ураження,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
161,Вступ України до НАТО призведе до світової війни,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
162,Об'єкти енергетичної інфраструктури України є законними військовими цілями,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
163,Український націоналізм призвів до російського вторгнення,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
164,"Росії довелося почати військову операцію, щоб забезпечити водопостачання Криму",11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
165,Альянс Китаю і Росії був викликаний провокаціями Заходу,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
166,Антиросійські санкції можуть призвести до голоду в Європі,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
167,Антиросійські санкції створили ризик голоду в уразливих країнах,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
168,Антиросійські санкції та ескалація війни можуть призвести до громадянських війн у Європі,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
169,Антиросійські санкції марні і повинні бути скасовані,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
170,Антиросійські санкції вигідні лише Сполученим Штатам,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
171,Антиросійські санкції призведуть до глобальної кризи,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
172,Економічна криза в Молдові є побічним ефектом антиросійських санкцій,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
173,Європа бореться з економічною кризою через антиросійські санкції,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
174,Фінансова підтримка України вдарила по західній економіці,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
175,Подальша підтримка України затягне конфлікт і кризу,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
176,"Глобальні проблеми створюють глобалісти, а не Росія",12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
177,Нові санкції проти Росії призведуть до розпаду ЄС,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
178,Зростання цін у США є наслідком антиросійських санкцій,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
179,Росія не несе відповідальності за економічну кризу,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
180,Підтримка України у війні для європейських економік гірша за пандемію,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
181,Економічна криза змушує Захід шукати компроміс з Росією,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
182,"Необхідно негайно розпочати мирні переговори, щоб послабити глобальну кризу",12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
183,Російська агресія не є приводом для введення санкцій проти Росії,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
184,"США надають пріоритет війні в Україні, а не порятунку життів американців",12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
185,"Захід вичерпав свій ресурс, озброївши Україну",12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
186,Україна перешкоджала поставкам з російських трубопроводів і викликала енергетичну кризу в Європі,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
187,"Західні санкції не змогли дестабілізувати Росію, але завдали величезної шкоди Заходу",12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
188,Європа втратила культурну енергію через підтримку України,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
189,Під час цієї війни Європа втратила суверенітет,12,"Підтримка України більше шкодить Заходу, ніж Росії",1,Дискредитація ЕС та заходу,Vox
190,Українські військові скаржаться на нестачу постачання,13,Дискредитація української армії,8,Дискредитація України та її інституцій,Vox
191,Українська армія руйнує цивільну інфраструктуру,13,Дискредитація української армії,8,Дискредитація України та її інституцій,Vox
192,Українське командування жорстоко поводиться з солдатами,13,Дискредитація української армії,8,Дискредитація України та її інституцій,Vox
193,Українська армія непрофесійна,13,Дискредитація української армії,8,Дискредитація України та її інституцій,Vox
194,Багато українських військових здаються в полон,13,Дискредитація української армії,8,Дискредитація України та її інституцій,Vox
195,Мобілізація в Україні порушує всі стандарти,13,Дискредитація української армії,8,Дискредитація України та її інституцій,Vox
196,В Україні немає поваги до загиблих воїнів,13,Дискредитація української армії,8,Дискредитація України та її інституцій,Vox
197,Україна мобілізує неповнолітніх,13,Дискредитація української армії,8,Дискредитація України та її інституцій,Vox
198,Українські військові зневажають Коран,13,Дискредитація української армії,8,Дискредитація України та її інституцій,Vox
199,Корупція в політичному та військовому керівництві України,14,Дискредитація чи висміювання представників української влади,8,Дискредитація України та її інституцій,Vox
200,Висміювання представників української влади,14,Дискредитація чи висміювання представників української влади,8,Дискредитація України та її інституцій,Vox
201,Володимир Зеленський втік із Києва,14,Дискредитація чи висміювання представників української влади,8,Дискредитація України та її інституцій,Vox
202,Володимир Зеленський – наркоман,14,Дискредитація чи висміювання представників української влади,8,Дискредитація України та її інституцій,Vox
203,Українська влада затягує війну,14,Дискредитація чи висміювання представників української влади,8,Дискредитація України та її інституцій,Vox
204,Україна веде агресивну політику і погрожує сусіднім країнам,14,Дискредитація чи висміювання представників української влади,8,Дискредитація України та її інституцій,Vox
205,Українська влада приховує правду,14,Дискредитація чи висміювання представників української влади,8,Дискредитація України та її інституцій,Vox
206,Конфлікт військово-політичних еліт України,14,Дискредитація чи висміювання представників української влади,8,Дискредитація України та її інституцій,Vox
207,Українці виступають проти Зеленського,14,Дискредитація чи висміювання представників української влади,8,Дискредитація України та її інституцій,Vox
208,Захід може усунути Зеленського в будь-який момент,14,Дискредитація чи висміювання представників української влади,8,Дискредитація України та її інституцій,Vox
